customer_id,recency,frequency,monetary,avg_order_value,customer_lifespan_days,first_purchase_date,last_purchase_date,country,cluster,segment,historical_customer_value,annualized_historical_value
12346,326,1,77183.6,77183.6,0,2011-01-18 10:01:00,2011-01-18 10:01:00,United Kingdom,1,Loyal Customers,77183.6,77183.6
12347,3,7,4310.0,615.7142857142857,365,2010-12-07 14:57:00,2011-12-07 15:52:00,Iceland,3,Champions,4310.0,4310.0
12348,76,4,1797.24,449.31,283,2010-12-16 19:09:00,2011-09-25 13:13:00,Finland,1,Loyal Customers,1797.24,2317.9950530035335
12349,19,1,1757.55,1757.55,0,2011-11-21 09:51:00,2011-11-21 09:51:00,Italy,0,Recent/Emerging Customers,1757.55,1757.55
12350,311,1,334.4,334.4,0,2011-02-02 16:01:00,2011-02-02 16:01:00,Norway,2,At-Risk/Dormant Customers,334.4,334.4
12352,37,8,2506.04,313.255,260,2011-02-16 12:33:00,2011-11-03 14:37:00,Norway,1,Loyal Customers,2506.04,3518.0946153846153
12353,205,1,89.0,89.0,0,2011-05-19 17:47:00,2011-05-19 17:47:00,Bahrain,2,At-Risk/Dormant Customers,89.0,89.0
12354,233,1,1079.4,1079.4,0,2011-04-21 13:11:00,2011-04-21 13:11:00,Spain,2,At-Risk/Dormant Customers,1079.4,1079.4
12355,215,1,459.4,459.4,0,2011-05-09 13:49:00,2011-05-09 13:49:00,Bahrain,2,At-Risk/Dormant Customers,459.4,459.4
12356,23,3,2811.43,937.1433333333331,303,2011-01-18 09:50:00,2011-11-17 08:40:00,Portugal,1,Loyal Customers,2811.43,3386.706105610561
12357,34,1,6207.67,6207.67,0,2011-11-06 16:07:00,2011-11-06 16:07:00,Switzerland,1,Loyal Customers,6207.67,6207.67
12358,2,2,1168.06,584.03,149,2011-07-12 10:04:00,2011-12-08 10:26:00,Austria,0,Recent/Emerging Customers,1168.06,2861.355033557047
12359,58,4,6310.03,1577.5075,274,2011-01-12 12:43:00,2011-10-13 12:47:00,Cyprus,1,Loyal Customers,6310.03,8405.69689781022
12360,53,3,2662.06,887.3533333333332,148,2011-05-23 09:43:00,2011-10-18 15:22:00,Austria,1,Loyal Customers,2662.06,6565.21554054054
12361,288,1,189.9,189.9,0,2011-02-25 13:51:00,2011-02-25 13:51:00,Belgium,2,At-Risk/Dormant Customers,189.9,189.9
12362,4,10,5226.23,522.623,292,2011-02-17 10:30:00,2011-12-06 15:40:00,Belgium,3,Champions,5226.23,6532.787499999999
12363,110,2,552.0,276.0,133,2011-04-11 13:29:00,2011-08-22 10:18:00,Unspecified,2,At-Risk/Dormant Customers,552.0,1514.8872180451128
12364,8,4,1313.1,328.275,105,2011-08-19 15:24:00,2011-12-02 10:22:00,Belgium,1,Loyal Customers,1313.1,4564.585714285714
12365,292,2,641.38,320.69,0,2011-02-21 13:51:00,2011-02-21 14:04:00,Cyprus,2,At-Risk/Dormant Customers,641.38,641.38
12367,5,1,168.9,168.9,0,2011-12-05 16:48:00,2011-12-05 16:48:00,Denmark,0,Recent/Emerging Customers,168.9,168.9
12370,52,4,3541.94,885.485,309,2010-12-14 12:58:00,2011-10-19 14:51:00,Cyprus,1,Loyal Customers,3541.94,4183.844983818771
12371,45,2,1887.96,943.98,15,2011-10-11 10:43:00,2011-10-26 10:16:00,Switzerland,1,Loyal Customers,1887.96,1887.96
12372,72,3,1298.04,432.68,225,2011-02-16 12:46:00,2011-09-29 12:12:00,Denmark,1,Loyal Customers,1298.04,2105.7093333333332
12373,312,1,364.6,364.6,0,2011-02-01 13:10:00,2011-02-01 13:10:00,Austria,2,At-Risk/Dormant Customers,364.6,364.6
12374,26,1,742.93,742.93,0,2011-11-14 15:37:00,2011-11-14 15:37:00,Austria,0,Recent/Emerging Customers,742.93,742.93
12375,11,2,457.5,228.75,88,2011-09-02 14:23:00,2011-11-29 10:36:00,Finland,0,Recent/Emerging Customers,457.5,1897.5852272727273
12377,316,2,1628.12,814.06,39,2010-12-20 09:37:00,2011-01-28 15:45:00,Switzerland,2,At-Risk/Dormant Customers,1628.12,15237.533333333333
12378,130,1,4008.62,4008.62,0,2011-08-02 10:34:00,2011-08-02 10:34:00,Switzerland,1,Loyal Customers,4008.62,4008.62
12379,82,2,852.24,426.12,89,2011-06-22 16:32:00,2011-09-19 10:09:00,Belgium,1,Loyal Customers,852.24,3495.1415730337076
12380,22,4,2724.81,681.2025,164,2011-06-07 09:49:00,2011-11-18 11:27:00,Belgium,1,Loyal Customers,2724.81,6064.363719512195
12381,5,5,1845.31,369.062,115,2011-08-12 09:57:00,2011-12-05 12:44:00,Norway,3,Champions,1845.31,5856.853478260869
12383,185,5,1850.56,370.112,168,2010-12-22 14:28:00,2011-06-08 08:02:00,Belgium,1,Loyal Customers,1850.56,4020.5619047619043
12384,29,2,585.27,292.635,93,2011-08-10 11:23:00,2011-11-11 08:39:00,Switzerland,0,Recent/Emerging Customers,585.27,2297.0274193548385
12386,338,2,401.9,200.95,29,2010-12-08 09:53:00,2011-01-06 12:37:00,Australia,2,At-Risk/Dormant Customers,401.9,401.9
12388,16,6,2780.66,463.44333333333327,311,2011-01-17 11:12:00,2011-11-24 12:30:00,Australia,3,Champions,2780.66,3263.4755627009645
12390,80,1,549.84,549.84,0,2011-09-21 09:33:00,2011-09-21 09:33:00,Belgium,2,At-Risk/Dormant Customers,549.84,549.84
12391,22,1,439.66,439.66,0,2011-11-18 12:07:00,2011-11-18 12:07:00,Cyprus,0,Recent/Emerging Customers,439.66,439.66
12393,73,4,1582.6,395.65,260,2011-01-11 09:47:00,2011-09-28 15:41:00,Australia,1,Loyal Customers,1582.6,2221.726923076923
12394,64,2,1272.48,636.24,154,2011-05-06 14:01:00,2011-10-07 08:08:00,Belgium,1,Loyal Customers,1272.48,3015.9428571428575
12395,20,12,3018.63,251.5525,352,2010-12-03 16:35:00,2011-11-20 15:21:00,Belgium,3,Champions,3018.63,3130.113494318182
12397,36,2,2409.9,1204.95,100,2011-07-27 14:21:00,2011-11-04 09:52:00,Belgium,1,Loyal Customers,2409.9,8796.135
12398,46,1,1635.66,1635.66,0,2011-10-25 10:27:00,2011-10-25 10:27:00,Switzerland,1,Loyal Customers,1635.66,1635.66
12399,120,4,1108.65,277.1625,142,2011-03-23 09:42:00,2011-08-12 13:15:00,Belgium,1,Loyal Customers,1108.65,2849.698943661972
12401,304,1,84.3,84.3,0,2011-02-09 13:50:00,2011-02-09 13:50:00,Belgium,2,At-Risk/Dormant Customers,84.3,84.3
